,Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
1430589,,,,,,,,1,04/01/2022,Vente,"396000,00",54.0,,RUE,6670,DE NAVARRE,33000.0,BORDEAUX,33,63,,HB,203,,,,,,,,,,,,0,1.0,Maison,,71.0,4.0,S,,70.0
1430593,,,,,,,,1,05/01/2022,Vente,"158500,00",2.0,,RUE,8690,DU SOLEIL,33000.0,BORDEAUX,33,63,,HE,381,,9,,,,,,,,,,1,2.0,Appartement,,40.0,1.0,,,
1430601,,,,,,,,1,07/01/2022,Vente,"187000,00",66.0,,RUE,8760,STEHELIN CAUD,33200.0,BORDEAUX,33,63,,VX,97,,5,,,,,,,,,,1,2.0,Appartement,,35.0,1.0,,,
1430609,,,,,,,,1,03/01/2022,Vente,"312500,00",15.0,,RUE,7495,POUDENSAN,33000.0,BORDEAUX,33,63,,LE,169,,,,,,,,,,,,0,1.0,Maison,,65.0,3.0,S,,45.0
1430614,,,,,,,,1,05/01/2022,Vente,"116000,00",58.0,,RUE,5495,LEYTEIRE,33000.0,BORDEAUX,33,63,,DR,113,,13,"18,80",,,,,,,,,1,2.0,Appartement,,20.0,1.0,,,
1430618,,,,,,,,1,05/01/2022,Vente,"299000,00",72.0,T,RUE,3575,FONFREDE,33800.0,BORDEAUX,33,63,,CT,485,,79,,,,,,,,,,1,2.0,Appartement,,71.0,1.0,,,
1430619,,,,,,,,1,05/01/2022,Vente,"505000,00",103.0,,RUE,1195,DE BRACH,33000.0,BORDEAUX,33,63,,ME,83,,,,,,,,,,,,0,1.0,Maison,,162.0,7.0,S,,111.0
1430620,,,,,,,,1,06/01/2022,Vente,"107500,00",41.0,,AV,0355,D ARES,33200.0,BORDEAUX,33,63,,MI,202,,163,"17,87",,,,,,,,,1,2.0,Appartement,,20.0,1.0,,,
1430622,,,,,,,,1,07/01/2022,Vente,"680000,00",44.0,,RUE,1105,BOUFFARD,33000.0,BORDEAUX,33,63,,KH,44,,19,"112,08",20,,,,,,,,2,2.0,Appartement,,108.0,4.0,,,
1430625,,,,,,,,1,05/01/2022,Vente,"62000,00",120.0,,RUE,3260,ETCHENIQUE,33200.0,BORDEAUX,33,63,,NI,103,,65,"18,45",,,,,,,,,1,2.0,Appartement,,19.0,1.0,,,
1430653,,,,,,,,1,06/01/2022,Vente,"475000,00",116.0,,RUE,6875,DU PALAIS GALLIEN,33000.0,BORDEAUX,33,63,,KV,122,,10,,5,"70,31",,,,,,,2,2.0,Appartement,,67.0,3.0,,,
1430655,,,,,,,,1,05/01/2022,Vente,"152000,00",13.0,,RUE,7775,RATEAU,33800.0,BORDEAUX,33,63,,CT,266,,3,"32,91",,,,,,,,,1,2.0,Appartement,,33.0,2.0,,,
1430656,,,,,,,,1,07/01/2022,Vente,"301300,00",7.0,,SEN,6607,DES MOUSSES,33300.0,BORDEAUX,33,63,,RX,124,,1182,"76,34",,,,,,,,,1,2.0,Appartement,,75.0,4.0,,,
1430658,,,,,,,,1,10/01/2022,Vente,"850600,00",14.0,,RUE,8810,TANESSE,33000.0,BORDEAUX,33,63,,DV,43,,,,,,,,,,,,0,2.0,Appartement,,36.0,2.0,S,,63.0
1430659,,,,,,,,1,10/01/2022,Vente,"850600,00",14.0,,RUE,8810,TANESSE,33000.0,BORDEAUX,33,63,,DV,43,,,,,,,,,,,,0,2.0,Appartement,,26.0,1.0,S,,63.0
1430660,,,,,,,,1,10/01/2022,Vente,"850600,00",14.0,,RUE,8810,TANESSE,33000.0,BORDEAUX,33,63,,DV,43,,,,,,,,,,,,0,2.0,Appartement,,36.0,2.0,S,,63.0
1430662,,,,,,,,1,07/01/2022,Vente,"242000,00",28.0,,IMP,4990,LACROIX,33000.0,BORDEAUX,33,63,,LB,292,,2,"33,43",,,,,,,,,1,2.0,Appartement,,35.0,2.0,,,
1430664,,,,,,,,1,06/01/2022,Vente,"297500,00",49.0,,RUE,0290,ANDRE MAGINOT CAUD,33200.0,BORDEAUX,33,63,,VO,11,,57,,,,,,,,,,1,2.0,Appartement,,65.0,3.0,,,
